city,Ambience_touristy,Ambience_hipster,Ambience_romantic,Ambience_divey,Ambience_intimate,Ambience_trendy,Ambience_upscale,Ambience_classy,Ambience_casual
Atlanta,0.0,0.09006465232880327,0.014645731626863702,0.03401504156221137,0.011874917535294894,0.3765404406913841,0.04090249373268241,0.6840216387386199,0.5834806702731231
Austin,0.005109573574964537,0.060677995541788494,0.032278609269606,0.0,0.027574327649596154,0.21208349014272065,0.036172306979706456,0.7187418579741193,0.6965665981530267
Boston,0.0,0.008237269674139966,0.04091404193519107,0.05496051556685123,0.03052101297994009,0.23182354542979033,0.03651175456113279,0.6479758554960515,0.49101388762821097
Orlando,0.09419488087334957,0.0,0.0290993582651029,0.045511543851884634,0.016449066902707088,0.18296820830567234,0.06199749207051707,0.5359961643431438,0.6105701851442059
Portland,0.0,0.22840565498079596,0.0,0.02135599684018414,0.04532701370161532,0.20495219416523658,0.015826319086922176,0.6253439023725859,0.7014246411157419
