city,BP_garage,BP_street,BP_validated,BP_lot,BP_valet
Atlanta,0.29032853938514314,0.35524475524475524,0.058820424858160705,0.6424858160707217,0.2067027312310331
Austin,0.2008655878180818,0.5459427380366499,0.07694757259068408,0.7360101901977246,0.09592392091016994
Boston,0.19642370881365162,0.8678859943723337,0.14402741218117454,0.15423890351275302,0.10946718707452119
Orlando,0.1488898723906469,0.043151139632662094,0.04919967544441986,0.6377148336652652,0.15925352216567087
Portland,0.037563673013538176,0.9324180763258969,0.039579417613249436,0.15643812481272643,0.015826319086922176
