city,Good_Meals_dessert,Good_Meals_latenight,Good_Meals_lunch,Good_Meals_dinner,Good_Meals_brunch,Good_Meals_breakfast
Atlanta,0.06700092360469719,0.13896292386858425,0.5928486607731891,0.7398601398601399,0.086053569072437,0.03987333421295686
Austin,0.04184639434907217,0.10777871059259474,0.6588310222042092,0.7019946154068841,0.21914714992907391,0.13319630605332483
Boston,0.02523372969047835,0.12035944449487156,0.27552872832894615,0.6220840519197604,0.04869746755014977,0.04840246891168195
Orlando,0.19775761599173858,0.058825698900936786,0.555174448624327,0.6686951390425611,0.08136018293132699,0.03677067197757616
Portland,0.13835090299910108,0.07033314265479011,0.2890959113072376,0.4989240282204244,0.21541227425022472,0.3175887336220751
